dataset,setting,method,model_seed,stream_seed,alpha,delta,epsilon,outage_rate,budget,n_windows,acc,fidelity_risk,violation_rate,cost_scalar,energy_mJ,latency_ms,usd,esc_cloud,n_reselect,final_debt
har,iid,device_only,0,0,0.05,0.1,0.0,0.0,-1.0,10,0.8666,0.1334,1.0,4.2704397499077656e-05,4.032e-06,0.01344,0.0,0.0,0,0.0
har,iid,cloud_only,0,0,0.05,0.1,0.0,0.0,-1.0,10,0.9754,0.0,0.0,1.0,0.6918904319999999,67.55357312000001,0.0002,1.0,0,0.0
har,iid,fixed_conf,0,0,0.05,0.1,0.0,0.0,-1.0,10,0.9694,0.0312,0.0,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,entropy,0,0,0.05,0.1,0.0,0.0,-1.0,10,0.9574,0.0292,0.0,0.2700311742101743,0.18681336,18.249275942400008,5.4e-05,0.27,0,0.0
har,iid,learned_router,0,0,0.05,0.1,0.0,0.0,-1.0,10,0.9694,0.0312,0.0,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,cost_static,0,0,0.05,0.1,0.0,0.0,-1.0,10,0.964,0.0322,0.0,0.2004049010940961,0.2349008351231999,8.610373796864002,3.44e-06,0.0172,0,0.0
har,iid,offline_crc,0,0,0.05,0.1,0.0,0.0,-1.0,10,0.9648,0.0262,0.0,0.2131111775822068,0.2349196266624,9.918446273792002,9.32e-06,0.0465999999999999,0,0.0
har,iid,online_naive,0,0,0.05,0.1,0.1,0.0,-1.0,10,0.9722,0.015,0.0,0.5414970584260136,0.483261591168,31.015301976576,6.696000000000001e-05,0.2688,9,0.0
har,iid,online_ipw,0,0,0.05,0.1,0.1,0.0,-1.0,10,0.9768,0.0078,0.0,0.7084423058246492,0.6355362309504,40.406192719616,8.636000000000002e-05,0.3669999999999999,9,0.0
har,iid,codec,0,0,0.05,0.1,0.1,0.0,-1.0,10,0.9656,0.0184,0.0,0.5473359754794136,0.4465405450367999,33.499809763584004,8.364000000000002e-05,0.3522,9,0.0
har,iid,codec_no_explore,0,0,0.05,0.1,0.0,0.0,-1.0,10,0.9656,0.0252,0.0,0.3607727143018587,0.3268241279615999,20.418309734656003,4.276000000000002e-05,0.2138,1,0.0
har,iid,codec_no_aci,0,0,0.05,0.1,0.1,0.0,-1.0,10,0.9718,0.0134,0.0,0.5750973401457542,0.5016761239295999,33.532644147712006,7.552000000000001e-05,0.3092,9,0.0
har,iid,codec_bonferroni,0,0,0.05,0.1,0.1,0.0,-1.0,10,0.9727999999999998,0.0128,0.0,0.5020361458850965,0.430594176768,29.65058602803201,6.872000000000002e-05,0.2722,8,0.0
har,iid,codec_rawconf,0,0,0.05,0.1,0.1,0.0,-1.0,10,0.973,0.0194,0.0,0.7298835780588717,0.691490952,39.74590992,7.500000000000001e-05,0.305,9,0.0
har,iid,codec_two_tier,0,0,0.05,0.1,0.1,0.0,-1.0,10,0.9608,0.0194,0.0,0.5310200283624271,0.3673957104,35.877250686720004,0.0001062,0.4759999999999998,9,0.0
har,iid,device_only,0,1,0.05,0.1,0.0,0.0,-1.0,10,0.8666,0.1334,1.0,4.2704397499077656e-05,4.032e-06,0.01344,0.0,0.0,0,0.0
har,iid,cloud_only,0,1,0.05,0.1,0.0,0.0,-1.0,10,0.9754,0.0,0.0,1.0,0.6918904319999999,67.55357312000001,0.0002,1.0,0,0.0
har,iid,fixed_conf,0,1,0.05,0.1,0.0,0.0,-1.0,10,0.9694,0.0312,0.0,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,entropy,0,1,0.05,0.1,0.0,0.0,-1.0,10,0.9574,0.0292,0.0,0.2700311742101743,0.18681336,18.249275942400008,5.4e-05,0.27,0,0.0
har,iid,learned_router,0,1,0.05,0.1,0.0,0.0,-1.0,10,0.9694,0.0312,0.0,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,cost_static,0,1,0.05,0.1,0.0,0.0,-1.0,10,0.964,0.0322,0.0,0.2004049010940961,0.2349008351231999,8.610373796864002,3.44e-06,0.0172,0,0.0
har,iid,offline_crc,0,1,0.05,0.1,0.0,0.0,-1.0,10,0.9648,0.0262,0.0,0.2131111775822068,0.2349196266624,9.918446273792002,9.32e-06,0.0465999999999999,0,0.0
har,iid,online_naive,0,1,0.05,0.1,0.1,0.0,-1.0,10,0.9654,0.0222,0.0,0.5062241088009086,0.4321192670208,30.003838722048005,7.008e-05,0.2821999999999999,9,0.0
har,iid,online_ipw,0,1,0.05,0.1,0.1,0.0,-1.0,10,0.978,0.0036,0.0,0.7346514231397109,0.6387508667904,42.94149038796801,9.728000000000002e-05,0.425,9,0.0
har,iid,codec,0,1,0.05,0.1,0.1,0.0,-1.0,10,0.9644,0.024,0.1,0.4551635965989481,0.3925524411264,26.772333215488004,6.148000000000001e-05,0.2358,9,0.0
har,iid,codec_no_explore,0,1,0.05,0.1,0.0,0.0,-1.0,10,0.9656,0.0252,0.0,0.3607727143018587,0.3268241279615999,20.418309734656003,4.276000000000002e-05,0.2138,1,0.0
har,iid,codec_no_aci,0,1,0.05,0.1,0.1,0.0,-1.0,10,0.9678,0.0174,0.0,0.5072002872903717,0.4441338019967999,29.488331115776003,6.596000000000003e-05,0.2578,9,0.0
har,iid,codec_bonferroni,0,1,0.05,0.1,0.1,0.0,-1.0,10,0.9688,0.0164,0.0,0.4727171306861754,0.3943734609791999,28.487369796352,6.892000000000001e-05,0.2704,8,0.0
har,iid,codec_rawconf,0,1,0.05,0.1,0.1,0.0,-1.0,10,0.9506,0.0419999999999999,0.4,0.4484791261030955,0.3901951696896,26.204555578368,5.928000000000001e-05,0.2158,9,0.0
har,iid,codec_two_tier,0,1,0.05,0.1,0.1,0.0,-1.0,10,0.9672,0.0126,0.0,0.5544190290795257,0.3835858521599999,37.457689801728,0.00011088,0.5089999999999999,9,0.0
har,iid,device_only,0,2,0.05,0.1,0.0,0.0,-1.0,10,0.8666,0.1334,1.0,4.2704397499077656e-05,4.032e-06,0.01344,0.0,0.0,0,0.0
har,iid,cloud_only,0,2,0.05,0.1,0.0,0.0,-1.0,10,0.9754,0.0,0.0,1.0,0.6918904319999999,67.55357312000001,0.0002,1.0,0,0.0
har,iid,fixed_conf,0,2,0.05,0.1,0.0,0.0,-1.0,10,0.9694,0.0312,0.0,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,entropy,0,2,0.05,0.1,0.0,0.0,-1.0,10,0.9574,0.0292,0.0,0.2700311742101743,0.18681336,18.249275942400008,5.4e-05,0.27,0,0.0
har,iid,learned_router,0,2,0.05,0.1,0.0,0.0,-1.0,10,0.9694,0.0312,0.0,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,cost_static,0,2,0.05,0.1,0.0,0.0,-1.0,10,0.964,0.0322,0.0,0.2004049010940961,0.2349008351231999,8.610373796864002,3.44e-06,0.0172,0,0.0
har,iid,offline_crc,0,2,0.05,0.1,0.0,0.0,-1.0,10,0.9648,0.0262,0.0,0.2131111775822068,0.2349196266624,9.918446273792002,9.32e-06,0.0465999999999999,0,0.0
har,iid,online_naive,0,2,0.05,0.1,0.1,0.0,-1.0,10,0.9694,0.0186,0.0,0.5266587791310031,0.4574184043776,30.811797028352004,6.992000000000001e-05,0.2759999999999999,9,0.0
har,iid,online_ipw,0,2,0.05,0.1,0.1,0.0,-1.0,10,0.9784,0.0056,0.0,0.7271413963816856,0.6731220558336,40.405315192832,8.072000000000003e-05,0.3434,9,0.0
har,iid,codec,0,2,0.05,0.1,0.1,0.0,-1.0,10,0.9663999999999998,0.0184,0.0,0.4546823261881756,0.3777770078976,27.480399804928005,6.688000000000002e-05,0.2559999999999999,9,0.0
har,iid,codec_no_explore,0,2,0.05,0.1,0.0,0.0,-1.0,10,0.9656,0.0252,0.0,0.3607727143018587,0.3268241279615999,20.418309734656003,4.276000000000002e-05,0.2138,1,0.0
har,iid,codec_no_aci,0,2,0.05,0.1,0.1,0.0,-1.0,10,0.9608,0.0267999999999999,0.0,0.4704798715164956,0.4076259771264,27.577324200704005,6.284000000000001e-05,0.2484,9,0.0
har,iid,codec_bonferroni,0,2,0.05,0.1,0.1,0.0,-1.0,10,0.972,0.0132,0.0,0.5161388977347061,0.4482894667391999,30.196119290112,6.852000000000001e-05,0.2688,8,0.0
har,iid,codec_rawconf,0,2,0.05,0.1,0.1,0.0,-1.0,10,0.9744,0.0152,0.0,0.8067262977726839,0.6916045960704,47.65663394713601,0.00011056,0.5045999999999999,9,0.0
har,iid,codec_two_tier,0,2,0.05,0.1,0.1,0.0,-1.0,10,0.9608,0.0198,0.0,0.493821616966014,0.34165753632,33.364757734656,9.876e-05,0.4383999999999999,9,0.0
har,iid,device_only,0,3,0.05,0.1,0.0,0.0,-1.0,10,0.8666,0.1334,1.0,4.2704397499077656e-05,4.032e-06,0.01344,0.0,0.0,0,0.0
har,iid,cloud_only,0,3,0.05,0.1,0.0,0.0,-1.0,10,0.9754,0.0,0.0,1.0,0.6918904319999999,67.55357312000001,0.0002,1.0,0,0.0
