dataset,window,lam1,lam2,truth_buf,stratified_point,stratified_ucb,ipw_point,ipw_ucb,naive_point,naive_ucb
har,1,0.02,0.05,0.168,0.1258842105263158,0.20454423037482306,0.7087912087912087,1.0,0.3131868131868132,0.37974424152583874
har,1,0.02,0.18,0.168,0.1258842105263158,0.20454423037482306,0.7087912087912087,1.0,0.3131868131868132,0.37974424152583874
har,1,0.02,0.5,0.168,0.1258842105263158,0.20454423037482306,0.7087912087912087,1.0,0.3131868131868132,0.37974424152583874
har,1,0.08,0.05,0.168,0.1258842105263158,0.20454423037482306,0.7087912087912087,1.0,0.3131868131868132,0.37974424152583874
har,1,0.08,0.18,0.168,0.1258842105263158,0.20454423037482306,0.7087912087912087,1.0,0.3131868131868132,0.37974424152583874
har,1,0.08,0.5,0.168,0.1258842105263158,0.20454423037482306,0.7087912087912087,1.0,0.3131868131868132,0.37974424152583874
har,1,0.18,0.05,0.143,0.11188421052631578,0.18723468400527107,0.6318681318681318,1.0,0.23626373626373626,0.2988265739692436
har,1,0.18,0.18,0.138,0.10688421052631579,0.1807994593874262,0.6043956043956044,1.0,0.2087912087912088,0.26935786991328986
har,1,0.18,0.5,0.138,0.10688421052631579,0.1807994593874262,0.6043956043956044,1.0,0.2087912087912088,0.26935786991328986
har,1,0.35,0.05,0.06,0.04383157894736842,0.10030080508666221,0.24725274725274723,0.5779850351941453,0.0989010989010989,0.1470687991970188
har,1,0.35,0.18,0.041,0.028831578947368423,0.07803252374117525,0.16483516483516483,0.44459882673326434,0.016483516483516484,0.044459882673326435
har,1,0.35,0.5,0.038,0.019221052631578948,0.06411304330190898,0.10989010989010989,0.3640244033310439,0.01098901098901099,0.03640244033310439
har,1,0.7,0.05,0.029,0.053442105263157895,0.11300099301883205,0.3021978021978022,0.6565650478824154,0.1043956043956044,0.1534166755257072
har,1,0.7,0.18,0.005,0.009610526315789474,0.04921545892901358,0.054945054945054944,0.2658199477981735,0.005494505494505495,0.026581994779817347
har,1,0.7,0.5,0.002,0.0,0.032434890374424846,0.0,0.12572288513183594,0.0,0.012572288513183594
har,2,0.02,0.05,0.17866666666666667,0.1672929292929293,0.2357697917269668,0.8412162162162162,1.0,0.3547297297297297,0.4072515996726783
har,2,0.02,0.18,0.17866666666666667,0.1672929292929293,0.2357697917269668,0.8412162162162162,1.0,0.3547297297297297,0.4072515996726783
har,2,0.02,0.5,0.17866666666666667,0.1672929292929293,0.2357697917269668,0.8412162162162162,1.0,0.3547297297297297,0.4072515996726783
har,2,0.08,0.05,0.17866666666666667,0.1672929292929293,0.2357697917269668,0.8412162162162162,1.0,0.3547297297297297,0.4072515996726783
har,2,0.08,0.18,0.17866666666666667,0.1672929292929293,0.2357697917269668,0.8412162162162162,1.0,0.3547297297297297,0.4072515996726783
har,2,0.08,0.5,0.17866666666666667,0.1672929292929293,0.2357697917269668,0.8412162162162162,1.0,0.3547297297297297,0.4072515996726783
har,2,0.18,0.05,0.15533333333333332,0.14246464646464646,0.20727711081825512,0.7162162162162162,1.0,0.2905405405405405,0.3411023552353316
har,2,0.18,0.18,0.14866666666666667,0.1357979797979798,0.19930512861576571,0.6824324324324325,1.0,0.25675675675675674,0.30584411363343933
har,2,0.18,0.5,0.14866666666666667,0.1357979797979798,0.19930512861576571,0.6824324324324325,1.0,0.25675675675675674,0.30584411363343933
har,2,0.35,0.05,0.068,0.05040404040404041,0.09593805632743402,0.2533783783783784,0.5004329133678127,0.10135135135135136,0.1379417406546103
